               table_name               |                   column_name                   |          data_type          | character_maximum_length 
----------------------------------------+-------------------------------------------------+-----------------------------+--------------------------
 trabajos_extra                         | cliente_id                                      | bigint                      |                         
 trabajos_extra                         | created_at                                      | timestamp without time zone |                         
 trabajos_extra                         | empresa_id                                      | bigint                      |                         
 trabajos_extra                         | id                                              | bigint                      |                         
 trabajos_extra                         | obra_id                                         | bigint                      |                         
 trabajos_extra                         | updated_at                                      | timestamp without time zone |                         
 trabajos_extra                         | nombre                                          | character varying           |                      255
 trabajos_extra                         | observaciones                                   | text                        |                         
 trabajos_extra                         | estado_pago_general                             | character varying           |                       50
 trabajos_extra                         | id_trabajo_extra                                | bigint                      |                         
 trabajos_extra                         | calculo_automatico_dias_habiles                 | boolean                     |                         
 trabajos_extra                         | descripcion                                     | text                        |                         
 trabajos_extra                         | direccion_obra_altura                           | character varying           |                       50
 trabajos_extra                         | direccion_obra_barrio                           | character varying           |                      100
 trabajos_extra                         | direccion_obra_calle                            | character varying           |                      255
 trabajos_extra                         | direccion_obra_codigo_postal                    | character varying           |                       20
 trabajos_extra                         | direccion_obra_departamento                     | character varying           |                       50
 trabajos_extra                         | direccion_obra_localidad                        | character varying           |                      100
 trabajos_extra                         | direccion_obra_piso                             | character varying           |                       50
 trabajos_extra                         | direccion_obra_provincia                        | character varying           |                      100
 trabajos_extra                         | direccion_obra_torre                            | character varying           |                       50
 trabajos_extra                         | direccion_particular                            | character varying           |                      500
 trabajos_extra                         | es_trabajo_extra                                | boolean                     |                         
 trabajos_extra                         | estado                                          | character varying           |                       50
 trabajos_extra                         | fecha_creacion                                  | date                        |                         
 trabajos_extra                         | fecha_emision                                   | date                        |                         
 trabajos_extra                         | fecha_probable_inicio                           | date                        |                         
 trabajos_extra                         | honorario_direccion_importe                     | numeric                     |                         
 trabajos_extra                         | honorario_direccion_porcentaje                  | numeric                     |                         
 trabajos_extra                         | honorario_direccion_valor_fijo                  | numeric                     |                         
 trabajos_extra                         | honorarios_aplicar_a_todos                      | boolean                     |                         
 trabajos_extra                         | honorarios_configuracion_presupuesto_activo     | boolean                     |                         
 trabajos_extra                         | honorarios_configuracion_presupuesto_tipo       | character varying           |                       20
 trabajos_extra                         | honorarios_configuracion_presupuesto_valor      | numeric                     |                         
 trabajos_extra                         | honorarios_jornales_activo                      | boolean                     |                         
 trabajos_extra                         | honorarios_jornales_tipo                        | character varying           |                       20
 trabajos_extra                         | honorarios_jornales_valor                       | numeric                     |                         
 trabajos_extra                         | honorarios_materiales_activo                    | boolean                     |                         
 trabajos_extra                         | honorarios_materiales_tipo                      | character varying           |                       20
 trabajos_extra                         | honorarios_materiales_valor                     | numeric                     |                         
 trabajos_extra                         | honorarios_otros_costos_activo                  | boolean                     |                         
 trabajos_extra                         | honorarios_otros_costos_tipo                    | character varying           |                       20
 trabajos_extra                         | honorarios_otros_costos_valor                   | numeric                     |                         
 trabajos_extra                         | honorarios_profesionales_activo                 | boolean                     |                         
 trabajos_extra                         | honorarios_profesionales_tipo                   | character varying           |                       20
 trabajos_extra                         | honorarios_profesionales_valor                  | numeric                     |                         
 trabajos_extra                         | honorarios_tipo_general                         | character varying           |                       20
 trabajos_extra                         | honorarios_valor_general                        | numeric                     |                         
 trabajos_extra                         | mail                                            | character varying           |                      255
 trabajos_extra                         | mayores_costos_aplicar_valor_general            | boolean                     |                         
 trabajos_extra                         | mayores_costos_configuracion_presupuesto_activo | boolean                     |                         
 trabajos_extra                         | mayores_costos_configuracion_presupuesto_tipo   | character varying           |                       20
 trabajos_extra                         | mayores_costos_configuracion_presupuesto_valor  | numeric                     |                         
 trabajos_extra                         | mayores_costos_explicacion                      | text                        |                         
 trabajos_extra                         | mayores_costos_general_importado                | boolean                     |                         
 trabajos_extra                         | mayores_costos_honorarios_activo                | boolean                     |                         
 trabajos_extra                         | mayores_costos_honorarios_tipo                  | character varying           |                       20
 trabajos_extra                         | mayores_costos_honorarios_valor                 | numeric                     |                         
 trabajos_extra                         | mayores_costos_jornales_activo                  | boolean                     |                         
 trabajos_extra                         | mayores_costos_jornales_tipo                    | character varying           |                       20
 trabajos_extra                         | mayores_costos_jornales_valor                   | numeric                     |                         
 trabajos_extra                         | mayores_costos_materiales_activo                | boolean                     |                         
 trabajos_extra                         | mayores_costos_materiales_tipo                  | character varying           |                       20
 trabajos_extra                         | mayores_costos_materiales_valor                 | numeric                     |                         
 trabajos_extra                         | mayores_costos_nombre_rubro_importado           | character varying           |                      255
 trabajos_extra                         | mayores_costos_otros_costos_activo              | boolean                     |                         
 trabajos_extra                         | mayores_costos_otros_costos_tipo                | character varying           |                       20
 trabajos_extra                         | mayores_costos_otros_costos_valor               | numeric                     |                         
 trabajos_extra                         | mayores_costos_profesionales_activo             | boolean                     |                         
 trabajos_extra                         | mayores_costos_profesionales_tipo               | character varying           |                       20
 trabajos_extra                         | mayores_costos_profesionales_valor              | numeric                     |                         
 trabajos_extra                         | mayores_costos_rubro_importado                  | character varying           |                      255
 trabajos_extra                         | mayores_costos_tipo_general                     | character varying           |                       20
 trabajos_extra                         | mayores_costos_valor_general                    | numeric                     |                         
 trabajos_extra                         | monto_total                                     | numeric                     |                         
 trabajos_extra                         | nombre_empresa                                  | character varying           |                      255
 trabajos_extra                         | nombre_obra                                     | character varying           |                      255
 trabajos_extra                         | nombre_solicitante                              | character varying           |                      255
 trabajos_extra                         | numero_presupuesto                              | character varying           |                       50
 trabajos_extra                         | telefono                                        | character varying           |                       50
 trabajos_extra                         | tiempo_estimado_terminacion                     | integer                     |                         
 trabajos_extra                         | total_final                                     | numeric                     |                         
 trabajos_extra                         | total_general                                   | numeric                     |                         
 trabajos_extra                         | total_honorarios                                | numeric                     |                         
 trabajos_extra                         | total_honorarios_calculado                      | numeric                     |                         
 trabajos_extra                         | total_materiales                                | numeric                     |                         
 trabajos_extra                         | total_mayores_costos                            | numeric                     |                         
 trabajos_extra                         | total_presupuesto                               | numeric                     |                         
 trabajos_extra                         | total_presupuesto_con_honorarios                | numeric                     |                         
 trabajos_extra                         | total_profesionales                             | numeric                     |                         
 trabajos_extra                         | vencimiento                                     | date                        |                         
 trabajos_extra                         | version                                         | integer                     |                         
 trabajos_extra_dias                    | fecha                                           | date                        |                         
 trabajos_extra_dias                    | id                                              | bigint                      |                         
 trabajos_extra_dias                    | trabajo_extra_id                                | bigint                      |                         
 trabajos_extra_gasto_general           | id                                              | bigint                      |                         
 trabajos_extra_gasto_general           | cantidad                                        | numeric                     |                         
 trabajos_extra_gasto_general           | created_at                                      | timestamp without time zone |                         
 trabajos_extra_gasto_general           | descripcion                                     | character varying           |                      500
 trabajos_extra_gasto_general           | empresa_id                                      | bigint                      |                         
